2021:01:22:10:03:45.184000,1611306225.184,$GPHDT,51.85,T*3C
2021:01:22:10:03:45.683000,1611306225.683,$GPHDT,51.88,T*31
2021:01:22:10:03:46.184000,1611306226.184,$GPHDT,51.96,T*3E
2021:01:22:10:03:46.683000,1611306226.683,$GPHDT,51.94,T*3C
2021:01:22:10:03:47.183000,1611306227.183,$GPHDT,51.85,T*3C
2021:01:22:10:03:47.683000,1611306227.683,$GPHDT,51.76,T*30
2021:01:22:10:03:48.184000,1611306228.184,$GPHDT,51.69,T*3E
2021:01:22:10:03:48.683000,1611306228.683,$GPHDT,51.71,T*37
2021:01:22:10:03:49.183000,1611306229.183,$GPHDT,51.77,T*31
2021:01:22:10:03:49.684000,1611306229.684,$GPHDT,51.81,T*38
2021:01:22:10:03:50.184000,1611306230.184,$GPHDT,51.75,T*33
2021:01:22:10:03:51.184000,1611306231.184,$GPHDT,51.54,T*30
2021:01:22:10:03:51.684000,1611306231.684,$GPHDT,51.52,T*36
2021:01:22:10:03:52.184000,1611306232.184,$GPHDT,51.56,T*32
2021:01:22:10:03:52.683000,1611306232.683,$GPHDT,51.63,T*34
2021:01:22:10:03:53.185000,1611306233.185,$GPHDT,51.63,T*34
2021:01:22:10:03:53.684000,1611306233.684,$GPHDT,51.64,T*33
2021:01:22:10:03:54.184000,1611306234.184,$GPHDT,51.62,T*35
2021:01:22:10:03:55.185000,1611306235.185,$GPHDT,51.32,T*30
2021:01:22:10:03:55.684000,1611306235.684,$GPHDT,51.13,T*33
2021:01:22:10:03:56.684000,1611306236.684,$GPHDT,50.98,T*31
2021:01:22:10:03:57.184000,1611306237.184,$GPHDT,51.00,T*31
2021:01:22:10:03:57.684000,1611306237.684,$GPHDT,51.03,T*32
2021:01:22:10:03:58.184000,1611306238.184,$GPHDT,50.99,T*30
2021:01:22:10:03:59.185000,1611306239.185,$GPHDT,50.51,T*34
2021:01:22:10:03:59.684000,1611306239.684,$GPHDT,50.38,T*3B
2021:01:22:10:04:00.684000,1611306240.684,$GPHDT,50.54,T*31
2021:01:22:10:04:01.684000,1611306241.684,$GPHDT,50.48,T*3C
2021:01:22:10:04:02.184000,1611306242.184,$GPHDT,50.39,T*3A
